ADM0_ES,ADM0_PCODE,ADM1ALT1ES,ADM1ALT2ES,ADM1_ES,ADM1_PCODE,ADM1_REF,CIR_Index,CWC,FAPAR,FID,IRECI_Index,LAI,PVI_Index,SAVI_Index,Shape_Area,Shape_Leng,TSAVI_Index,administra,app_id,categoria,centroid_x,centroid_y,date,escala,fecha_act,fecha_regi,hectareas0,hectareas_,id_pnn,nombre,organizaci,perimetro_,record_id,resolucion,territoria,type,url,validOn,validTo,validado,wkid,longitude,latitude
Colombia,CO,,,Casanare,CO85,,0.33163172006607056,0.09930992126464844,0.2512233257293701,564,0.006398356985300779,0.9948951601982117,0.15516476333141327,0.28334173560142517,3.61506314804,12.1327535552,0.24207788705825806,CORPORINOQUIA,1.0,Distritos Regionales de Manejo Integrado,-72.45972108,4.94526663,"{'type': 'Date', 'value': 1514764800000}",,,,13757.75267263,13768.0,1040.0,El Tinije,Corporación Autónoma Regional de la Orinoquía,,1144.0,08012,,,https://runap.parquesnacionales.gov.co/area-protegida/1040,"{'type': 'Date', 'value': 1586995200000}",,Si,0,-72.51566136779894,5.040144218663143
Colombia,CO,,,Casanare,CO85,,0.2873604893684387,0.044758390635252,0.19632700085639954,565,-0.0046309418976306915,0.8620814681053162,0.10563961416482925,0.21972428262233734,3.61506314804,12.1327535552,0.1811845749616623,CORPORINOQUIA,1.0,Distritos Regionales de Manejo Integrado,-72.59272093,4.48346828,"{'type': 'Date', 'value': 1514764800000}",,,,20120.16620476,20133.84,1039.0,Mata de la Urama,Corporación Autónoma Regional de la Orinoquía,,1146.0,07008,,,https://runap.parquesnacionales.gov.co/area-protegida/1039,"{'type': 'Date', 'value': 1586995200000}",,Si,0,-72.55470630668837,4.419896946008718
Colombia,CO,,,Casanare,CO85,,0.34296903014183044,0.09879443049430847,0.265281617641449,566,0.0030196853913366795,1.028907060623169,0.13307234644889832,0.26917582750320435,3.61506314804,12.1327535552,0.2235458493232727,CORPORINOQUIA,1.0,Distritos Regionales de Manejo Integrado,-72.59272093,4.48346828,"{'type': 'Date', 'value': 1514764800000}",,,,20120.16620476,20133.84,1039.0,Mata de la Urama,Corporación Autónoma Regional de la Orinoquía,,1146.0,07008,,,https://runap.parquesnacionales.gov.co/area-protegida/1039,"{'type': 'Date', 'value': 1586995200000}",,Si,0,-72.57696246537482,4.432319985795901
Colombia,CO,,,Casanare,CO85,,0.23723720014095306,-0.03381720557808876,0.13417412340641022,567,-0.003508040914312005,0.711711585521698,0.08150526136159897,0.17537729442119598,3.61506314804,12.1327535552,0.1434263437986374,PNNC,1.0,Reserva Natural de la Sociedad Civil,-70.77323433,5.33124662,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1511395200000}","{'type': 'Date', 'value': 1511395200000}",814.99085111,814.9475,804.0,Buenaventura,Parques Nacionales Naturales de Colombia,,1516.0,0066,,,https://runap.parquesnacionales.gov.co/area-protegida/804,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-70.76299241949519,5.325656925659778
Colombia,CO,,,Casanare,CO85,,0.3856756091117859,0.24910065531730652,0.3182377517223358,568,0.0036105734761804342,1.157026767730713,0.1519462764263153,0.30489763617515564,3.61506314804,12.1327535552,0.25374406576156616,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.52514115,4.73262543,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1632960000000}","{'type': 'Date', 'value': 1632960000000}",9094.05584956,9094.0559,1736.0,El Boral,Parques Nacionales Naturales de Colombia,,2198.0,102,,,https://runap.parquesnacionales.gov.co/area-protegida/1736,"{'type': 'Date', 'value': 1586995200000}",,Si,0,-71.47170305637437,4.716717098019587
Colombia,CO,,,Casanare,CO85,,0.2686708867549896,-0.0013877339661121368,0.1731519103050232,569,0.003852620953693986,0.8060126900672913,0.09204069525003433,0.19832617044448853,3.61506314804,12.1327535552,0.16214022040367126,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.42908745,5.53495056,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1477440000000}","{'type': 'Date', 'value': 1477440000000}",823.99530827,843.0,1081.0,El Milagro,Parques Nacionales Naturales de Colombia,,1246.0,0095,,,https://runap.parquesnacionales.gov.co/area-protegida/1081,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.42404040845078,5.532356594697839
Colombia,CO,,,Casanare,CO85,,0.3253813087940216,0.11692783236503601,0.24347282946109772,570,-0.0017327253008261323,0.9761439561843872,0.12261442095041275,0.2518141567707062,3.61506314804,12.1327535552,0.20831198990345,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.71956579,5.18523636,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1509408000000}","{'type': 'Date', 'value': 1509408000000}",4043.56088602,4000.0,761.0,Matabrava,Parques Nacionales Naturales de Colombia,,1467.0,0053,,,https://runap.parquesnacionales.gov.co/area-protegida/761,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.69613755752455,5.167904624399899
Colombia,CO,,,Casanare,CO85,,0.2402787208557129,0.0062505146488547325,0.13794560730457306,571,-0.002750016050413251,0.7208361625671387,0.08017773926258087,0.17499949038028717,3.61506314804,12.1327535552,0.14264065027236938,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.22505142,5.06182105,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1578873600000}","{'type': 'Date', 'value': 1578873600000}",826.4164321,826.4164,1540.0,Maturin,Parques Nacionales Naturales de Colombia,,1958.0,193,,,https://runap.parquesnacionales.gov.co/area-protegida/1540,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.22876963091535,5.052718295334712
Colombia,CO,,,Casanare,CO85,,0.3032163381576538,0.07116809487342834,0.21598826348781586,572,0.0038991859182715416,0.9096490144729614,0.1141093447804451,0.23450878262519836,3.61506314804,12.1327535552,0.1939621865749359,PNNC,1.0,Reserva Natural de la Sociedad Civil,-70.81772474,5.31785501,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1590537600000}","{'type': 'Date', 'value': 1590537600000}",399.12604292,399.126,1621.0,San Cristobal,Parques Nacionales Naturales de Colombia,,2054.0,034,,,https://runap.parquesnacionales.gov.co/area-protegida/1621,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-70.81021000403393,5.326428910394257
Colombia,CO,,,Casanare,CO85,,0.49457046389579773,0.4014316499233246,0.453267365694046,573,-0.01684948056936264,1.4837113618850708,0.21045035123825073,0.4051927924156189,3.61506314804,12.1327535552,0.3409968614578247,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.35766948,6.03924821,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1332288000000}","{'type': 'Date', 'value': 1332288000000}",9881.50006573,9887.628,259.0,La Aurora,Parques Nacionales Naturales de Colombia,,536.0,0195,,,https://runap.parquesnacionales.gov.co/area-protegida/259,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.42517184521239,6.025204284066071
