FID,categoria,nombre,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
40,Parque Nacional,Lago Ypoa,0.398965,0.3464521739130435,0.35910000000000003,0.3599521739130435,0.3618,0.33731304347826085,0.3853608695652174,0.35729130434782613,0.3173739130434783,0.4083478260869565,0.37017391304347824,0.33541304347826084,0.42808260869565223,0.38932173913043483,0.38128260869565217,0.42436956521739133,0.39250434782608695,0.38648260869565215,0.35802173913043484,0.4138478260869565,0.3917521739130435,0.4067,0.36861739130434784,0.43683043478260875,0.44949130434782614,0.4267173913043478
41,Parque Nacional,Lago Ypoa,0.29829,0.29618260869565216,0.29481304347826087,0.24628260869565216,0.29056086956521743,0.27260869565217394,0.2710130434782609,0.2884,0.2763478260869565,0.2831304347826087,0.2904478260869565,0.2786391304347826,0.2726521739130435,0.2967086956521739,0.30361739130434784,0.31159565217391305,0.3005,0.27658260869565215,0.2740695652173913,0.3156913043478261,0.23531304347826087,0.3475478260869565,0.23296956521739132,0.31998695652173914,0.32253043478260873,0.2388521739130435
42,Parque Nacional,San Rafael,0.365595,0.40665652173913047,0.3819130434782609,0.40564347826086955,0.3454086956521739,0.40566956521739134,0.4015739130434783,0.4038826086956522,0.36487391304347827,0.3821521739130435,0.35741739130434785,0.3985391304347826,0.3916913043478261,0.3848304347826087,0.3860782608695652,0.3997608695652174,0.4284869565217391,0.3712173913043479,0.40741739130434784,0.41960000000000003,0.3800391304347826,0.43636956521739134,0.41960000000000003,0.39811739130434787,0.4092,0.3563869565217392
43,Reservas de la Biosfera Río Apa,Cerrado del Río Apa,0.43465000000000004,0.4196782608695652,0.38267391304347825,0.4289347826086957,0.4466913043478261,0.3878478260869565,0.4234565217391304,0.40416521739130434,0.3959565217391305,0.40854347826086956,0.4004173913043479,0.39885652173913044,0.42223043478260874,0.3717173913043479,0.4428608695652174,0.4393217391304348,0.40152608695652175,0.4173173913043478,0.41436521739130433,0.4035217391304348,0.39748695652173915,0.3511478260869565,0.4235304347826087,0.4342652173913043,0.3946521739130435,0.432
45,Reservas de la Biosfera Río Apa,Cerrado del Río Apa,0.45461000000000007,0.41767391304347834,0.4473695652173913,0.4381521739130435,0.4544304347826087,0.431895652173913,0.425104347826087,0.38880434782608697,0.3981913043478261,0.44356521739130433,0.4519608695652174,0.4192173913043478,0.4481913043478261,0.4507521739130435,0.4442130434782609,0.47230434782608705,0.4371304347826087,0.4206652173913043,0.46605217391304354,0.42182608695652174,0.418795652173913,0.4054695652173913,0.40939565217391305,0.447404347826087,0.43280869565217395,0.4274434782608696
46,Sitios Ramsar,Estero Milagro*,0.398035,0.42376521739130435,0.4714347826086957,0.4130521739130435,0.4720478260869565,0.47803913043478263,0.4571826086956522,0.43026956521739135,0.40723478260869567,0.444495652173913,0.42534782608695654,0.4246695652173913,0.4282173913043478,0.4128173913043478,0.431204347826087,0.4315521739130435,0.44689130434782615,0.4606913043478261,0.47116956521739134,0.43587391304347833,0.4118695652173913,0.4281869565217391,0.4193826086956522,0.45454782608695654,0.4058695652173913,0.4849739130434783
47,Refugio de Vida Silvestre,Yabebyry,0.31273,0.2983,0.32013478260869566,0.2881956521739131,0.31405652173913046,0.32899130434782614,0.3035521739130435,0.2784956521739131,0.31820000000000004,0.2908695652173913,0.3243956521739131,0.33242608695652176,0.3342521739130435,0.3302434782608696,0.3717782608695652,0.37445217391304353,0.35043913043478264,0.3702782608695652,0.3853217391304348,0.3760391304347826,0.32558260869565214,0.31473913043478263,0.3228347826086957,0.328,0.36717826086956523,0.3638782608695652
48,Reservas de la Biosfera Río Apa,Cerrado del Río Apa,0.360795,0.3540304347826087,0.3337086956521739,0.3781086956521739,0.37824347826086957,0.32456956521739133,0.3666739130434783,0.3271826086956522,0.3251304347826087,0.3279347826086957,0.3583608695652174,0.31859565217391306,0.3599086956521739,0.31345652173913047,0.3285,0.38228695652173916,0.3297521739130435,0.3439478260869565,0.3642608695652174,0.30491304347826087,0.3460608695652174,0.32321739130434785,0.3416608695652174,0.31009565217391305,0.2780956521739131,0.42426521739130435
49,Parque Nacional,Lago Ypoa,0.22329000000000002,0.2592695652173913,0.25090434782608695,0.22827391304347827,0.2186782608695652,0.24975652173913046,0.2200086956521739,0.24609565217391305,0.22010000000000002,0.2603782608695652,0.26521739130434785,0.2496304347826087,0.25828695652173916,0.23231304347826087,0.2716521739130435,0.2701130434782609,0.2453608695652174,0.23872608695652175,0.21275652173913046,0.25792608695652175,0.1913,0.27866521739130434,0.24571304347826087,0.29528695652173914,0.32072608695652177,0.27974782608695653
50,Parque Nacional,Lago Ypoa,0.389235,0.36068260869565216,0.33792173913043483,0.30549565217391306,0.3021913043478261,0.3034869565217392,0.3044,0.37540434782608695,0.30934347826086955,0.2898217391304348,0.2921956521739131,0.27577391304347826,0.28377391304347827,0.31085217391304354,0.30363913043478263,0.29901739130434785,0.28876956521739133,0.2685086956521739,0.2729478260869565,0.2760086956521739,0.2225,0.35889565217391306,0.2939826086956522,0.33473478260869566,0.33440434782608697,0.2949304347826087
51,Reservas de la Biosfera Río Apa,Cerrado del Río Apa,0.403675,0.36909565217391305,0.3194173913043479,0.4070217391304348,0.39001739130434787,0.3039304347826087,0.3865391304347826,0.3302869565217392,0.34085652173913045,0.3689826086956522,0.3577086956521739,0.3379956521739131,0.37562173913043484,0.36757391304347825,0.3779391304347826,0.37998260869565215,0.3284,0.3617956521739131,0.3784869565217392,0.3427652173913044,0.3583913043478261,0.30910000000000004,0.3744782608695652,0.3852478260869565,0.3747956521739131,0.41566956521739135
52,Parque Nacional,Lago Ypoa,0.282125,0.28916521739130435,0.28020869565217393,0.26998695652173915,0.29352608695652177,0.28825217391304353,0.25509565217391306,0.3091826086956522,0.23527826086956521,0.25359565217391306,0.2727913043478261,0.23873478260869566,0.26311739130434786,0.25561304347826086,0.27575652173913046,0.29324347826086955,0.2566434782608696,0.2505260869565218,0.24551304347826086,0.25075652173913043,0.22590000000000002,0.32580000000000003,0.33785652173913044,0.34364782608695654,0.37563913043478264,0.4210739130434783
53,Paisaje Protegido,Estero Yetyty,0.44316000000000005,0.49582608695652175,0.5005695652173914,0.4691391304347826,0.4506391304347826,0.4527521739130435,0.4559782608695652,0.44997391304347834,0.45191304347826095,0.4612391304347826,0.4377260869565217,0.47149565217391304,0.4854739130434783,0.46892173913043483,0.49010000000000004,0.4880086956521739,0.43929565217391303,0.4815478260869565,0.4697608695652174,0.49110434782608703,0.4730608695652174,0.46647826086956523,0.4719695652173913,0.5244217391304348,0.4859,0.49427391304347834
54,Reserva Natural,Reserva Natural del Bosque Mbaracayú,0.39589,0.33966521739130434,0.43442608695652174,0.3394695652173913,0.33815217391304353,0.3339608695652174,0.38643043478260874,0.3336652173913044,0.30916521739130437,0.36232608695652174,0.39877391304347826,0.3684652173913044,0.4145869565217391,0.34940000000000004,0.3383086956521739,0.40214347826086955,0.3627391304347826,0.36612173913043483,0.3621608695652174,0.3792565217391305,0.4005086956521739,0.40942173913043484,0.4149913043478261,0.37961739130434785,0.4251478260869565,0.4004565217391305
