FID,categoria,nombre,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
40,Parque Nacional,Lago Ypoa,0.721395,0.6737173913043478,0.690313043478261,0.6862652173913043,0.6774434782608696,0.669804347826087,0.7203391304347826,0.6593173913043479,0.6564695652173913,0.7257695652173913,0.6771260869565218,0.6677695652173913,0.7539086956521739,0.6885304347826088,0.7312000000000001,0.7342565217391305,0.6924826086956523,0.6928217391304349,0.6880347826086958,0.7223173913043478,0.7270869565217392,0.7284521739130435,0.688708695652174,0.7487347826086957,0.7550347826086957,0.7506739130434783
41,Parque Nacional,Lago Ypoa,0.657105,0.6085173913043478,0.6055347826086958,0.5656826086956522,0.6101565217391305,0.5604086956521739,0.5953217391304348,0.6001652173913044,0.5582913043478261,0.5944086956521739,0.6059217391304348,0.6038739130434784,0.5972000000000001,0.5997652173913043,0.6154739130434783,0.6088304347826087,0.5820826086956522,0.5478434782608697,0.5980173913043478,0.6144869565217391,0.5335913043478261,0.6783347826086957,0.621095652173913,0.6825478260869565,0.6794391304347827,0.6491130434782609
42,Parque Nacional,San Rafael,0.7083600000000001,0.7267608695652175,0.710708695652174,0.7095913043478261,0.6678826086956522,0.740304347826087,0.7141565217391305,0.7022826086956522,0.7250304347826088,0.7331217391304349,0.7025521739130436,0.7356217391304348,0.7438913043478261,0.7193347826086958,0.7145695652173913,0.7147478260869565,0.7576086956521739,0.7085434782608696,0.7168608695652174,0.7392652173913044,0.7100869565217391,0.7404521739130435,0.7286565217391304,0.7064347826086957,0.7590478260869565,0.6746521739130436
43,Reservas de la Biosfera Río Apa,Cerrado del Río Apa,0.718415,0.6955739130434784,0.6379739130434783,0.7027826086956522,0.7014565217391304,0.6537173913043478,0.6923565217391304,0.6533391304347826,0.6605608695652174,0.6669695652173914,0.6679173913043478,0.6292434782608697,0.6632521739130435,0.6038173913043479,0.6894608695652175,0.6844521739130436,0.638,0.6669347826086958,0.6619521739130435,0.6476565217391305,0.6469739130434783,0.5856913043478261,0.6728000000000001,0.6751217391304348,0.638404347826087,0.6626347826086957
45,Reservas de la Biosfera Río Apa,Cerrado del Río Apa,0.7848600000000001,0.7343434782608697,0.7406,0.7408652173913043,0.7626217391304349,0.7353695652173914,0.7429521739130436,0.6604739130434784,0.7177782608695652,0.7459478260869565,0.7408478260869565,0.7314608695652174,0.7555521739130435,0.745504347826087,0.7305,0.7678434782608696,0.7245434782608696,0.7030217391304349,0.7543913043478261,0.6957304347826088,0.7143304347826087,0.6759086956521739,0.7121217391304349,0.7466173913043478,0.7168478260869565,0.7435869565217391
46,Sitios Ramsar,Estero Milagro*,0.64242,0.6660391304347826,0.7171173913043478,0.6410434782608696,0.7180217391304349,0.7423434782608697,0.7094260869565218,0.6677130434782609,0.6503434782608696,0.6702739130434783,0.6671391304347827,0.665395652173913,0.682795652173913,0.647895652173913,0.6855130434782609,0.6995043478260871,0.7292826086956522,0.7202826086956522,0.7321565217391305,0.7179913043478261,0.6654478260869565,0.6848304347826087,0.6623478260869565,0.7201304347826087,0.6477260869565218,0.7481391304347826
47,Refugio de Vida Silvestre,Yabebyry,0.64717,0.6431347826086957,0.6484391304347826,0.6154826086956522,0.638804347826087,0.6601739130434783,0.6397782608695652,0.6432173913043479,0.6463434782608696,0.6052565217391305,0.6573739130434784,0.6478565217391304,0.658395652173913,0.6561043478260871,0.6772826086956523,0.680795652173913,0.6769565217391305,0.6737217391304349,0.6929260869565217,0.6951782608695652,0.6408,0.6871478260869566,0.6489217391304348,0.6815913043478261,0.7047217391304348,0.7042521739130435
48,Reservas de la Biosfera Río Apa,Cerrado del Río Apa,0.64427,0.6209434782608696,0.580908695652174,0.6438478260869566,0.6496391304347826,0.5912826086956522,0.6347086956521739,0.5634869565217391,0.5838217391304348,0.5953739130434783,0.6096347826086957,0.5682826086956522,0.621308695652174,0.5664652173913043,0.5737173913043478,0.6571782608695652,0.5719173913043478,0.6015782608695652,0.6267695652173914,0.5643478260869565,0.6215260869565218,0.578295652173913,0.5949913043478261,0.5327869565217391,0.4629521739130435,0.6800695652173914
49,Parque Nacional,Lago Ypoa,0.5666950000000001,0.6319869565217391,0.5986217391304348,0.5360478260869566,0.5614304347826087,0.5632521739130435,0.5718913043478261,0.5824565217391304,0.5337869565217391,0.5704739130434783,0.5660521739130435,0.5649565217391305,0.5662782608695652,0.6316304347826087,0.6157739130434783,0.5756739130434784,0.564608695652174,0.5573043478260871,0.5741,0.5754826086956523,0.4716826086956522,0.5954826086956522,0.5392260869565217,0.6255086956521739,0.6410956521739131,0.6291347826086957
50,Parque Nacional,Lago Ypoa,0.6974899999999999,0.6615478260869565,0.6369043478260871,0.6504608695652174,0.6233260869565217,0.6056347826086957,0.6264304347826087,0.6690782608695652,0.6132913043478261,0.6479956521739131,0.6434782608695653,0.589704347826087,0.5998478260869565,0.6246478260869566,0.617204347826087,0.6061695652173913,0.5983782608695652,0.5806521739130436,0.6191565217391304,0.5611869565217391,0.5419913043478262,0.6819173913043478,0.6097956521739131,0.6759347826086958,0.670404347826087,0.6821173913043478
